title,lyric,album,like
"
				개화 (Flowering)
			","아른아른 아지랑이 괜히 눈이 부시고
포근해진 얼음은 겨우 녹아내릴 것만 같아
동지섣달 기나긴 밤 지나 헤매었던 발걸음
있잖아 (까맣고 혼자 외로운 날)
그때가 기억조차 안 나
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸 너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
(벚꽃 잎이 흩날리듯이)
시간아 나의 봄에 스며들어
점점 더 더 더
소리 없이 일렁이며 떨고 있는 초라한 맘은
흐르는 물의 연꽃처럼 전부 멀어져 갈 거야
넌 그저 그 자리에 그대로 (아름다워)
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸 너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
(벚꽃 잎이 흩날리듯이)
시간아 나의 봄에 스며들어
점점 더 더 더
햇살에 깜빡깜빡 미끄러지듯이
우린 사르르르르 (사르르르)
기지개 피듯 두 팔 벌린 꽃들처럼
그대 꿈도 On & On
아무것도 할 수 없을 것 같은 그 마음
혼자만 남아 시들지는 않을까
괜찮아 (괜찮아) 언젠가 (언젠가)
파랗게 피어날 거야
나는 그런 널 기억할 거야
새하얗게 웃던 날을 기억하나요 그대
내가 느낀 모든 걸 너에게 줄 수 있다면
바람아 내게 봄을 데려와 줘
벚꽃 잎이 흩날리듯이
시간아 나의 봄에 스며들어
점점 더 더 더
햇살에 깜빡깜빡 미끄러지듯이
우린 사르르르르 (사르르르)
기지개 피듯 두 팔 벌린 꽃들처럼
그대 꿈도 On & On",DEAR.,"3,201"
"
				아니 근데 진짜
			","아니 근데 진짜
너 예쁘다니까
새벽을 깨우는 환한 햇살 같아
아니 근데 진짜로
너만 모르나 봐
온 세상이 널 사랑하고 있는 걸
진짜로
그렇게 말하진 말아줘
부끄런 건지 대체 자꾸 어디가 못나
우울한 날
너를 생각하면
괜히 힘이나
뭐든 할 수 있을 것 같아
바보 같아
넌 가끔 진짜 별로야
내 맘속의 별로
이제 보니 다 거품
Unbelievable
웃음 한방에 날
녹여버리곤
장난치지 좀 말라니
아니 근데 진짜
너 예쁘다니까
새벽을 깨우는 환한 햇살 같아
아니 근데 진짜로
너만 모르나 봐
온 세상이 널 사랑하고 있는 걸
아니 근데 진짜
너무 밝게 빛나서
세상이 까매질 시간조차 없는 걸
아니 근데 진 하
아니 근데 진짜로
바보 같아
부디 꽃밭엔
가지 않았음 해
헷갈릴 것 같아
뭐가 너인지 알 수 없잖아
바보 같아
넌 가끔 진짜 별로야
내 맘속의 별로
이제 보니 다 거품
Unbelievable
웃음 한방에 날
녹여버리곤
장난치지 좀 말라니
아니 근데 진짜
너 예쁘다니까
새벽을 깨우는 환한 햇살 같아
아니 근데 진짜로
너만 모르나 봐
온 세상이 널 사랑하고 있는 걸
아니 근데 진짜
너무 밝게 빛나서
세상이 까매질 시간조차 없는 걸
아니 근데 진 하
아니 근데 진짜로
그래 그래 아니 근데 정말
넌 사랑인가 봐
어딜 봐도 내 눈엔 너만 보이는 걸
아니 근데 진 하
아니 근데 진짜로
바보 같아",INSERT COIN,"1,011"
"
				히어로
			","부디 너의 맘에
하얗게 내린 눈꽃이
차갑게 얼지 않기를
너라는 이름은
오뉴월의 꿈만 같아
깨고 싶지 않은걸
너라면 이런 날
기다릴 수 있을까
저 달이 떨어져도
난 아직까지 그대로 일 텐데
막다른 길이라고
또 혼자서 넘어져 우울하고
난 그대에게 조금 더 멋있는 사람이
돼 주고 싶었는데
눈부셔 햇살을
닮아 환하게 웃어 주는 너
난 만화 속에
주인공처럼
내겐 두 손에 빔
하늘을 가르는 날개
괴력의 힘은 없지만
그래 너의 곁에선
주인공이 된 것 같아
너에게 내 세상을 줄게
나라면 이런
나를 사랑해 줄 수 있을까
어디로 가는지도
나는 아직 모르는데
그댄 왜 왔다가 갔다가 제멋대로인 날
떠나지 않고 그 자리에
아직도 그대로
눈부셔 빛나는 그대와
달이 저무는 하루
난 만화 속에
주인공처럼
내겐 두 손에 빔
하늘을 가르는 날개
괴력의 힘은 없지만
그래 너의 곁에선
주인공이 된 것 같아
너에게 내 세상을 줄게",INSIDE,"2,104"
"
				그녀가 웃잖아
			","그래 그렇게 제발 좀 웃어봐
웃는 여자 중엔 네가 젤 예쁜걸
내 말 앞에 손사래 쳐도
좋은 듯 행복한 듯 웃는 네가
나의 삶에 햇살이잖니

밤새도 눈 빨개져도 난 좋았어
너를 웃게 해 줄 생각에 들떠서
혹시 중간에 끊길까 봐
재미있는 얘길 달달 외고
준비한 게 탄로 날까 연습도 했었지

널 떠난 사람 잊을 수 있다면
널 울린 사람 걷어 낼 수 있다면
광대라도 좋아 바보가 된다 해도
너만 기쁘면 그보다 더한 것도 난

누군가 내게 네 사랑과 행복 중
하나만 고르라면 택하라면
한 치 망설임도 없이
언제나 난 네 행복이고 싶어
네가 나를 사랑하지 않는다 해도
내가 널 사랑하니까 남자니까
우는 건 아픈 건 내가 할게
넌 웃어줘

가끔 날 보며 웃는 널 보면서
나를 사랑한단 착각을 하나 봐
아니, 지금은 아니라도
나를 사랑해라 사랑해라 
가슴으로 너를 향해 주문도 거나 봐

그 꿈에서 또 깨면 쓸쓸해도
널 볼수록 더 가슴이 미어져도
뒤돌아서 눈물 삼키고 삼켜내도
너를 몰랐던 그날들보다 괜찮아 

널 위해 할 수 있는 게 참 없잖니
사랑을 받는 일도 하는 일도
그게 나를 또 얼마나
미치게 하는 건지 네가 알까
끝내 몰라도 돼 부탁 하나만 할게
널 웃게 만드는 일만 허락해 줘
우는 건 아픈 건 내가 할게
넌 웃어줘",그녀가 웃잖아,205
"
				못 죽는 기사와 비단 요람
			","숨을 쉬지 않는 땅
끝에 걸려있는
저 달빛이 만든 길을 따라
도대체
얼마나 멀리 지나왔는지
이 길은 끝없이 영원하단 걸
뭐가 됐든 상관없다는 듯
쇠들은 철커덕거려
다음이란 의미 없는 소리
살 위를 춤추는 벌
뭘 바라더라도 내려놓으란 듯이
날아드는 해가
나와
내 안에 끌어안은 반
영원함을 말한 이 손을
내게선 떼어놔야만 하는데
그만 가
나의 모습처럼 난
흑연과 강철의 괴물이니까
외로운 괴로운 발걸음은
넌 없어도 되니까
없어야 하니까
이젠 가
날 두고 떠나가
너는 빛을 담는 요람이니까
지켜준 건 내가 아닌 너야
내 사랑아 내 파도여
너는 너의 밤을 가렴
무너지는 폐허 위
타올랐을 열기 속을
지금까지 남아 있는 잔향 따라
무심히 걸어가
날 움직이게 해준 맘
변화를 약속하는 눈을
내게선 떼어놔야만 하니까
그만 가
나의 모습처럼 난
흑연과 강철의 괴물이니까
외로운 괴로운 발걸음은
넌 없어도 되니까
없어야 하니까
이젠 가
날 두고 떠나가
너는 빛을 담는 요람이니까
지켜준 건 내가 아닌 너야
내 사랑아 내 파도여
널 괴롭힐 거니까
망가질 테니까
너 없는 세상을 걸어가야 하나
느려지다 멈춘 다리
쓰러져 넘어가는 하늘
처음 올려다본 별 길은
되게 느렸구나
가지 마
나와 네 약속처럼
나는 죽지 않는 너일 테니까
외로운 괴로운 그날들에
우리 둘이었으니까
그래 나와 너의 모습들은 다
똑같은 강철의 요람이구나
바라온 건 너와 나 우리야
내 사랑아 내 파도여
다음이란 의미 없는 소리
살 위를 춤추는 벌
뭘 바라더라도 내려놓으란 듯이
날아드는 해가
나와
내 안에 끌어안은 반
영원함을 말하는 널
놓지 않아
녹이 슬어 무너져가는 나라도 괜찮으면
같은 밤을 걸어가자
이 길의 끝 따라",못 죽는 기사와 비단 요람,567
"
				조깅
			","그대 멀리 떠난다면
홀로 어딜 가고 싶은가요
그 한숨 돌릴 새도 없이
또 내 세상은 빙글빙글 돌아가
반대로 내가 가고 싶은 대로만 간다면
그저 틀린 길만 나올까
오늘도 우린 쉬지 않고 달렸잖아
마라톤 하듯이
그러다 머리 핑 돌아
가끔 한 번은
동네 한번 빙 돌아
마음 편하게
너는 빛보다
밝게 빛나
급하게 가지마 그렇게 머물러줘
푸른 바람처럼
그런 너이기를
몸은 괜히 뻐근하고
오늘따라 괜히 나른하죠
같은 일상 속에서
하루에 날 위한 시간은 얼마나 있을까
반대로 내가 가고 싶은 대로만 간다면
그저 틀린 길은 아닐 걸
오늘도 우린 쉬지 않고 달렸잖아
마라톤 하듯이
그러다 머리 핑 돌아
가끔 한 번은
동네 한번 빙 돌아
마음 편하게
너는 빛보다
밝게 빛나
급하게 가지마 그렇게 머물러줘
내일을 그리던
날 잃어버리고 있다면
그런 그댄 행복하다 할 수 있나요
지금까지 하고 싶은 것들
바래왔던 것들 전부
잊고 있던 너잖아
이제 너를 힘들게 하지마
더는 안가 정해진 길론
돌아가 넌 푸른빛을 따라
한 번 더 뛸 수 있다면
그땐 너의 맘이 닿는 곳까지
달려가고 있기를",PANORAMA,"2,203"
"
				맞네
			","표정은 밝게 웃는데도
슬픈 듯한 너의 뒷모습에
미안해 너의 말이 다 맞네
우리 엄마 말하시길
자다가 떡이 생긴다
그 애 말 들으면
아버지 왈
네 엄마가 나를
수백 번 넘게 살렸단다
자 자 자 잠깐
이건 내가 생각한 게 아냐
이런 말로 너를 울린 사람이라면
차라리 개미가 나은걸
머 머 머 멈춰
이런 말을 하려던 게 아냐
생각했던 대로 말은 나오지도 않고
또 후회할걸
머리로는 알아 나의 문제들은
투정도 고집도 다 부질없는데
도망가듯 귀를 막아 버렸나 봐
어떤 모습도 좋아해 주는 너인데
좀 늦었지만 결국 너 말이 맞네
매번 그렇듯 사소한
이유로 다투고 있어 이럴 게 아닌데
너와 내가 싸워 봤자 뭐해
우리는 같은 편이잖아
자 자 자 잠깐
이건 내가 생각한 게 아냐
이런 말로 너를 울린 사람이라면
차라리 개미가 나은걸
그 그 그 그래
무슨 말 하고 싶은진 알아
그저 머릴 비우고
생각할 시간이 필요할 뿐인데
생각해보자 야식이
건강에 안 좋으니까 걱정인 거지?
나는 말야 그저 너랑 같이
함께 먹는 게 좋았던 거야
다 알아 나의 문제들은
투정도 고집도 다 부질없는데
도망가듯 귀를 막아 버렸나 봐
어떤 모습도 좋아해 주는 너인데
좀 늦었지만 결국 너 말이 맞네",BLUE,929
"
				빌런
			","오렌지 햇살에 잠겨가는 세상에
그 역광이 무색하게 빛나던 미소가

아아 이렇게 세상은 숨 쉬는구나

나에게도 담겨 있을까
부서질 듯한 숨이

개운할 생각은 없었는데
아마 거울 속 내 모습이
좀 다르게 맘에 쏙 들었었나 봐

맘이 타오르면 하필 또
두세 정거장 전에 꼭

나른 나른 나른 나른 Oh 
나름 나름 나름

오늘은 영웅이 될 것만 같던 날인데
하나 둘 어그러지듯이
나보다 훨씬 아름답게

빛나는 이 세상은 날 초라하게 해
꼭 눈부신 사람들이 나도 빛나라 해

나도 알아

그래! 마음을 열면 꽃밭이라며
아는데도 멀어지는걸
엉망진창인 내겐

우연히 처음 들은 노래마저도
나를 날아오르곤 흩날리게 해
오직 날 주인공인 것처럼

맘이 따스하면
꼭 어김없이 나타나는 넌

다름 다름 다름 다름 나완
다름 다름 다름

오늘은 영웅이 될 것만 같던 날인데
하나 둘 어그러지듯이
나보다 훨씬 아름답게

빛나는 이 세상은 날 초라하게 해
꼭 눈부신 사람들이 나도 빛나라 해

나도 알아

그래! 마음을 열면 꽃밭이라며
아는데도 멀어지는걸
엉망진창인 내겐

차라리 망쳐버릴까
난 가질 수 없는 거라
꿈과 희망 사랑이든 뭐든 그게 뭐든 간에
왜 나만 뭐라 해

아니 근데 나도 마냥 불행하
지는 않았다곤 해도 외로웠잖아

나름 다들 나를 사랑해 줘
봤자 언젠가는 다시 버려져

오렌지 햇살에 잠겨가는 세상에
그 역광이 무색하게 빛나던 네가

아아 이 세상을 숨 쉬게 하는구나
나에게만

빛나는 이 세상은 날 사랑한다 해
꼭 나 같은 바보들이 나를 피하려 해

나도 알아

그래! 나도 나대로 빛나는걸
아는데도 아름다운걸
너에게서 본 숨이",FROM.,266
"
				21세기의 어떤 날
			","날 기억할 수 있을까
숨 가쁜 오늘 시대는 흘러 달리고 있는데
찰칵 셔터를 누르면
모두 다 간직할 수 있기를 내 맘속 카메라
사랑 낭만 슬픔과 눈물 모두 흘러가겠지만
한 장 사진에 담을 수 없는 이 세상이 얼마나
얼마나 아름다웠는지
오 늘 지 금 바 로 여 기
이 멋 진 우 주 한 복 판 에 서
너를 만나 정말 기뻤다
눈 을 감 고 소 리 치 며
2 1 세 기 를 함 께 느 꼈 던
우리 기억되길
한없이 울었던 날과
가장 행복했던 어떤 오후
쏟아지던 비처럼
짧은 노래가 끝나면
역사가 되어버릴 이 순간도
좋은 표정으로
사랑 낭만 슬픔과 눈물 모두 흘러가겠지만
2012년 1월 16일 이 세상이 얼마나
얼마나 아름다웠는지
오 늘 지 금 바 로 여 기
이 멋 진 우 주 한 복 판 에 서
너를 만나 정말 기뻤다
눈 을 감 고 소 리 치 며
2 1 세 기 를 함 께 느 꼈 던
우리 기억되길
오 늘 지 금 바 로 여 기
이 멋 진 우 주 와 햇 살 또
너를 만나 정말 기뻤다
눈 을 감 고 소 리 치 며
2 1 세 기 를 함 께 느 꼈 던
오 늘 지 금 바 로 여 기
이 멋 진 우 주 한 복 판 에 서
너를 만나 정말 기뻤다
눈 을 감 고 소 리 치 며
2 1 세 기 를 함 께 느 꼈 던
우리 기억되길",21세기의 어떤 날,572
"
				아지랑이
			","아아 많이 무서웠나요
바스러지는 한 줌 타버린 별 꼭 쥐고
아아 아지랑이 너머에 춤추듯 울렁인 맘
여태 견디면서
나도 키 작을 적엔
넘어지면 모두가 눈물 닦아 줬었는데
달빛 한 줄 아래서
소리 없이 참은 눈물은 말랐네
봐요
피워내고 살아낸 이들을
지어 보인 너의 그 미소가
의미 없지 않잖아
내려놔요
부서지는 열성(列星)의 무게를
요동치는 반야의 시간 속
움켜쥐었던 성한 곳 하나 없는 가슴을
아아 원래 그런가 봐요
사랑하기 위한 삶
살기 위해 한 사랑
아아 함께 한 이 길 끝에
내가 없어도 그댄 밝게 비춰주리
거의 다 왔단 그 말
지나도 멈춰 설 방법을 몰랐었네
봐요
피워내고 살아낸 이들을
지어 보인 너의 그 미소가 의미 없지 않잖아
내려놔요
부서지는 열성(列星)의 무게를
요동치는 반야의 시간 속
움켜쥐었던 성한 곳 하나 없는 가슴을
아아 원래 그런가 봐요
사랑하기 위한 삶
살기 위해 한 사랑
아아 함께 한 이 길 끝에
내가 없어도 그댄 밝게 비춰주리
날아가는 새가, 자유가 부러워
우린 꿈에서라도 달아나고 싶었던 거야
Na
날 수 있던 거야
Na
아지랑일 넘어서
달궈진 숨으로",열,492
"
				낙화
			","아련히 피워낸 열
눈부신 다짐도
꽃이 지듯 시들어가겠지

아름답단 말처럼
내 모습 이대로
심어둔 우리를
기억하겠다 해줘

난 새하얀 눈이 돼 어딘가로 흩어질 거야
그 장면 안에도
네가 미소 짓기를

바람아 네가 보여준 이 세상은
꽃잎들이 모여 세상을 밝히더라

시간 따라 다다른 이 순간은
작은 티끌 하나 하나라도 없었다면
보지 못했을 이야기

'피다'의 반대말은 '지다'가 아냐

너를 봐봐
얼마나 예쁜지

난 아지랑이 속에
뛰놀던 우리를 본 것만 같아

선잠의 꿈이라도
이유가 되니까
네가

바람아 네가 보여준 이 세상은
꽃잎들이 모여 세상을 밝히더라

시간 따라 다다른 이 순간을
기억해 낼 거야 분명

난 나는 게 아닌
그저 떨어지던 걸지도 몰라

언젠가 너 앞에
또 다시 피울게

바람이 내게 보여준 이 세상은
반딧불이 모여 꽃잎이 돼 주더라

시간 따라 다다른 이 따스함은
놓지 않을 기억, 그날에 너와 나

시작의 해로
다시 돌아간대도
몇천 번이라도 같은 길을 걸어가리

우릴 함께 날아오르게 해줬던
나의 봄바람아
다시 만나게 되면
또 어디론가 데려가 줘",FROM.,273
"
				놀이
			","멀어져 가는 꿈의 잔상처럼
지난 내 하루의 표정이 기억이 안 나
멋대로 밀려오는 생각이
날 괴롭혀 또 다그쳐
어린 날 훔쳐본
어른의 모습은
내게 환상이라 말하고
무감각해진 시곗바늘
난 그대로인 듯이
어린애로 남아 있나 봐
하늘이 무겁다 해도
까진 무릎이 아팠던 것도 모른 채
온 세상을 날아 모든 걸 놀이 하듯이
지금도 똑같아 다를 거 없어
많은 사람들 사이를 안 닿고 지나기
남모르게 은밀히 자리에 앉기
맨 먼저 퇴근한 사람이 술래인 거야
꼭 말해줘 다시 만나 또 놀자고
환하게 웃으며 얘기하는 사람
뒤돌아 떠나도 미소를 머금고 있기를 바라도
스치는 혜성처럼
찰나인 듯한 아름다움
하늘이 무겁다 해도
까진 무릎이 아팠던 것도 모른 채
온 세상을 날아 모든 걸 놀이 하듯이
지금도 똑같아 다를 거 없어
많은 사람들 사이를 안 닿고 지나기
남모르게 은밀히 자리에 앉기
맨 먼저 퇴근한 사람이 술래인 거야
꼭 말해줘 다시 만나
무궁화에
꽃이 피고
돌아보면
다 그대로 멈춰라
더 이상은
떠나가지 말아줘
멈춰서 줘
다시 찾을게
우리가 떠나온 그날들을
넌 웃어줘 함께 놀던 그날처럼",Childhood,953
"
				떼굴떼굴
			","이젠 머리가 어지러워
어느새 해는 져 있고
난 오늘이 무슨 요일인지도
모르고 사나 봐
어질러진 방은
치울 엄두조차 나질 않고
침대 위에 누워
얼마나 잘 수 있나 생각해
내일이 오길 기다리던 난
이리저리 부딪히며
마음대로 무엇 하나 되지 않는 하룰
견뎌내고 있잖아
다시 하루는 시작되고
숨 쉴 틈 없이 세상은 돌아만 가
하루 종일 모두 떼굴떼굴 굴러
이대론 안 될 것만 같아
내일을 그리던 그때로 뒤로 Back
눈만 깜빡였을 뿐인데
온데간데없어진 달
기지갤 피고 하품할 시간
조차 부족한데
부대낀 사람들
어딜 봐도 여유는 하나 없고
시곗바늘에 쫓겨
뭔가에 홀린 듯한 발걸음
내일이 오길 기대하던 넌
이리저리 부딪히며
마음대로 무엇 하나 되지 않는 하룰
견뎌내고 있잖아
다시 하루는 시작되고
숨 쉴 틈 없이 세상은 돌아만 가
하루 종일 모두 떼굴떼굴 굴러
이대론 안 될 것만 같아
내일을 그리던 그때로 뒤로 Back
뒤돌아봐 생각보다
날이 좋았는데
얼마나 많이 놓쳤을까
무감각함에 잠긴 것 같아
여행 가고 싶어
꿈을 꾸고 싶어
하늘을 보고 싶어
닫힌 내 마음을 움직이게 해준 바람
아침 햇살에 눈이 부셔
포근한 구름 위를 뒹구는 기분
너도 나도 이젠 하루하루 달라
내일은 어떤 날이 올까
우릴 위해 있는 거야 이 모든 게",BLUE,"1,048"
"
				날씨가 미쳤어
			","음 오늘은 바람이 적당해 만나자
햇살은 안 뜨겁고 거리엔
사람들도 적당해

저기 SNS에서 봤던 카페
가보고 싶어 했었던 너
사진이 잘 나오는
창가 자리를 봐두었어
근데 넌 어디서 찍어도 예뻐

겉옷은 챙겨와 밤에는 추워
뭐 안 챙겨오면 더 좋아
내가 안아줄까
아 너무 빠른가 그럼 내꺼 주지 뭐
너무 들떴나 날씨가 좋아서 그래

다음 주 평일에는 눈치게임해서
우리 꿈과 희망의 나라로 갈래
달빛은 설레고 하늘에
별들도 따다 주고 싶어

유치하고 뻔한 말이면 어때
정말 좋아하면 원래 그런 거래
너무 일찍은 가지 말자
추억이 잘 나오는 하루가 될 것 같아
거기가 그렇게 야경이 예쁘대

겉옷은 챙겨와 밤에는 추워
뭐 안 챙겨오면 더 좋아
내가 안아줄까
아 너무 빠른가 그럼 내꺼 주지 뭐
너무 들떴나 날씨가 좋아서 그래

갑자기 전화해서 또 불러낼지 몰라
근데 있잖아
날씨가 미쳤어 빨리 나와봐
아이스크림이 두 개야
널 보내기 아쉬웠던 집 앞 벤치야

날씨가 미쳤나 내 마음이 미쳤나
아니면 둘 다 미쳤나
저기서 걸어오는 너를 보니까
알겠어 내 마음이 미쳤네
너무 들떴나 날씨가 좋아서
아니 사실 네가 좋아서 그래",날씨가 미쳤어 (Our Pie X LUCY),271
"
				결국 아무것도 알 수 없었지만
			","검은 머리가 파뿌리 되도록
기나긴 시간 쭉 함께하자고
하루하루를 함께 그려냈지
영원할 것처럼
고된 하루도 힘들진 않았어
네가 웃으면 다 괜찮아져서
매일 그날의 장면을 되감아
여기 나 홀로 남아
영화 속에 열린 결말처럼
영원할 순 없나 봐
어디서부터 어긋나 버린 걸까
난 여기 있는데
너와 나의 사랑
그 뒷이야기를
결국 아무것도 알 수 없었지만
널 사랑한 시간마저
낡은 테이프처럼
바래져 잊혀지는 거 그것만은 싫어
가고 싶은 곳 해보고 싶은 것
너와 약속한 그 모든 것들이
사라져 아득히
이젠 붙잡을 수 없을 만큼 점점 멀어져 가
못다 한 말들이 너무 많아
쉽게 널 못 잊나 봐
텅 빈 거리에서마저 너가 보여
가슴이 아려와
너와 나의 사랑
그 뒷이야기를
결국 아무것도 알 수 없었지만
널 사랑한 시간마저
낡은 테이프처럼
점점 잊혀져가는데
너가 없는 내 삶엔
아무런 내용도 없는데
이대로 난
멈춰버린 시간
우리의 이야기
여기서 끝이라곤 생각하기 싫어
그 뒤를 이어 보려 해
같은 맘이라면
긴 여행을 다 끝난 뒤에 봐
예전처럼 문을 열고 달려와서
내 품에 안긴 채로 꼭 말해줘
다녀왔어",BLUE,816
"
				MP3
			","항상 나란히 너와 나
손에 닿은 바람
기억할까 작은 MP3
매번 애석한 줄들은 둘둘 엉켜있고
늘 한쪽을 건네주던 너
겨우 10곡 반복되며 같이 흥얼대다
바람이 줄을 데려가 흔들면
혹시 빠지진 않을까 더욱 가까이 붙어
네게 맞춰 걷던 나
난 너의 세상을 함께 듣고 싶어
네 눈에 담은 걸 같이 보고 싶어
너의 맘 깊은 곳 작은 감정 하나도
내게 모두 다 전해지기를
어느새 시간은 지나 모두 흐려지고
어디론가 숨은 MP3
이젠 이어질 줄조차 없는 세상이라
그때 널 그리워하나 봐
너무 오래돼 바래진 기억 저 너머에
그때 그 노래가 입을 맞추면
우리 반씩 나눠 들었던 모든 추억들이
두 귀로 쏟아내려
난 너의 세상을 함께 듣고 싶어
네 눈에 담은 걸 같이 보고 싶어
너의 맘 깊은 곳 작은 감정 하나도
내게 모두 다 전해지기를",Childhood,608
"
				Opening
			","밤하늘에 수놓은 별자리를 따라
잊고 있던 날 찾아갈 거야
미약했던 시작의 우린 평범에 가린 채
숨어있는 보물을 찾으려던 아이들
모두가 또 다른 얼굴 또 다른 길을
걸어왔지만
앞으로 바라볼 방향은 같던 우리들
발을 굴러
박힌 닻을 올려
접힌 돛을 펼쳐
돌이 가로막아도
소릴 높여
바람을 가르며
저 너머로
때론 지쳐 주저앉겠지만
결코 포기하지 않아
봐 저 반짝이는 날들을
밤하늘에 수놓은 별자리를 따라
우린 잊고 있던 보물을 찾아낼 거야
아니라고 그런 건 없다며 막아서도
함께라면 기억해 낼 수 있어
약속해 어둠이 드리워도 떨쳐내기로
우리 이야기의 주인공은 우리니까
발을 굴러
박힌 닻을 올려
접힌 돛을 펼쳐
돌이 가로 막아도
소릴 높여
바람을 가르며
저 너머로
때론 지쳐 주저앉겠지만
결코 포기하지 않아
봐 저 반짝이는 날들을
밤하늘에 수놓은 별자리를 따라
우린 잊고 있던 보물을 찾아낼 거야
아니라고 그런 건 없다며 막아서도
함께라면 기억해 낼 거야
우리가 남긴 발자국들이 모여
길을 만들고 안개를 비출 지도가 되었지
이제 시작이야 우리의 이야기
쓰여진 것보다 더 먼 미래가
여명으로 밝게 비춰질테니
어디선가 들리는 내 목소릴 따라
숨겨왔던 꿈을 반드시 찾고 말 거야
거친 파도 뒤에 뜨는 태양 저 하늘이
우릴 반겨",Childhood,547
"
				내버려
			","분한 기억 날 깨우고
불탄 맘에 잠 올 리가 없고
후회스런 내 모습이 눈앞에 부글부글
아른아른거려
귀에 딱지가 앉도록 들어댄
신비한 어른들의 마음가짐
모두 고마워
즐거움은 영원하지 않아
이 고통도 그럼 얼마 가지 않을 테니
비록
누군가 쓰던 삶
새겨들어야 하는 말
길을 가르쳐 주는 손의 방향이
피와 살이 되어
나를 일으켜 준대도
발목을 잡음 안 되잖아
차라리 날 태우게
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴 지켜나 봐
누군가 쓰던 삶
새겨들어야 하는 말
길을 가르쳐 주는 손의 방향이
피와 살이 되어
나를 일으켜 준대도
발목을 잡음 안 되잖아
차라리 날 태우게
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴
믿어
아는 듯이 쉬운 듯이
정답이라 말하지마
나도 끝까지 놓지는 않을 테니
포기 안 해 상처는 결국 아물 테니까
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴 지켜나 봐",열,307
"
				Boogie Man
			","이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에

머리카락 보일라
꼭 숨어라
이불 속 떠는 게
다 보이네

삐져나온 그 발목은
끌고 가라는 거지?
잘 먹겠습니

닫아 눈구멍도 없게
막아 네 뒤에 있는데
가려 두 눈 가려도 여기엔

우리 단둘이

이제 더는 싫어
그만
일어나 본 거울엔

굳어버린 다리 시퍼렇게 질린 얼굴 뒤로
가까이 손이 Oh

이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에 스르르르

그래 날 데려가 줘
차라리 너와 저 너머로 도망칠래
그럼 나도 부기맨

슬금슬금슬금
날 조여오는
혼자만 남겨진
외로운 밤

유령들로 북적이는 따스한 유령선이
차라리 낫겠어

새빨간 열매와
까맣게 팔 벌린 나무
날 보고 웃기만 해 왜
아무 말이나 좀

이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에 스르르르

그래 날 데려가 줘
차라리 너와 저 너머로 도망칠래
그럼 나도 부기맨

왔다 갔다 아래 위로
대롱대롱 매달린 채

이도 저도 못하면서
서성이는 게

마치
여기 저기 피하면서
떨고 있는 걸로 보여

너도 혹시 내가 무서워?

내일 밤엔 부기맨이랑 같이 널 잡으러 갈게
깊고 어두운 옷장 속에 스르르르

그래 내 손 잡아줘
차라리 나와 저 너머로 도망칠래? 
그럼 너도 부기맨",Boogie Man,274
